client_time,device_time,gsr_data
1625628478655,1.6256284779810395E9,0.5961576
1625628478655,1.6256284782310395E9,0.5961576
1625628478655,1.6256284784810395E9,0.60256505
1625628480154,1.6256284787310395E9,0.5987206
1625628480154,1.6256284789810395E9,0.5987206
1625628480154,1.6256284792310395E9,0.5987206
1625628480154,1.6256284794810395E9,0.5961576
1625628480154,1.6256284797310395E9,0.5935947
1625628480154,1.6256284799810395E9,0.58975023
1625628481654,1.6256284802310395E9,0.58975023
1625628481654,1.6256284804810395E9,0.60128355
1625628481654,1.6256284807310395E9,0.5974391
1625628481654,1.6256284809810395E9,0.60384655
1625628481654,1.6256284812310395E9,0.60384655
1625628481654,1.6256284814810395E9,0.607691
1625628483154,1.6256284817310395E9,0.60512805
1625628483154,1.6256284819810395E9,0.5987206
1625628483154,1.6256284822310395E9,0.59487617
1625628483154,1.6256284824810395E9,0.5923132
1625628483154,1.6256284827310395E9,0.59487617
1625628483154,1.6256284829810395E9,0.5987206
1625628484658,1.6256284832310395E9,0.59487617
1625628484658,1.6256284834810395E9,0.5807798
1625628484658,1.6256284837310395E9,0.57565385
1625628484658,1.6256284839810395E9,0.5820613
1625628484658,1.6256284842310395E9,0.5820613
1625628484658,1.6256284844810395E9,0.5910317
1625628486153,1.6256284847310395E9,0.5974391
1625628486154,1.6256284849810395E9,0.5961576
1625628486154,1.6256284852310395E9,0.58718723
1625628486154,1.6256284854810395E9,0.61153543
1625628486154,1.6256284857310395E9,0.610254
1625628486154,1.6256284859810395E9,0.6153799
1625628487654,1.6256284862310395E9,0.6140984
1625628487654,1.6256284864810395E9,0.6064095
1625628487654,1.6256284867310395E9,0.6000021
1625628487654,1.6256284869810395E9,0.5910317
1625628487654,1.6256284872310395E9,0.58846873
1625628487654,1.6256284874810395E9,0.5935947
1625628489156,1.6256284877310395E9,0.5974391
1625628489156,1.6256284879810395E9,0.60512805
1625628489156,1.6256284882310395E9,0.610254
1625628489156,1.6256284884810395E9,0.60512805
1625628489156,1.6256284887310395E9,0.6000021
1625628489156,1.6256284889810395E9,0.60512805
1625628490657,1.6256284892310395E9,0.60512805
1625628490657,1.6256284894810395E9,0.6089725
1625628490657,1.6256284897310395E9,0.6089725
1625628490657,1.6256284899810395E9,0.6089725
1625628490657,1.6256284902310395E9,0.5974391
1625628490657,1.6256284904810395E9,0.5910317
1625628492154,1.6256284907310395E9,0.5935947
1625628492154,1.6256284909810395E9,0.5974391
1625628492154,1.6256284912310395E9,0.5961576
1625628492154,1.6256284914810395E9,0.5923132
1625628492154,1.6256284917310395E9,0.5910317
1625628492154,1.6256284919810395E9,0.60256505
1625628493654,1.6256284922310395E9,0.60384655
1625628493654,1.6256284924810395E9,0.60384655
1625628493654,1.6256284927310395E9,0.61153543
1625628493654,1.6256284929810395E9,0.6256318
1625628493654,1.6256284932310395E9,0.6486985
1625628493654,1.6256284934810395E9,0.65382445
1625628495154,1.6256284937310395E9,0.65766895
1625628495154,1.6256284939810395E9,0.65510595
1625628495154,1.6256284942310395E9,0.65638745
1625628495154,1.6256284944810395E9,0.65766895
1625628495154,1.6256284947310395E9,0.652543
1625628495154,1.6256284949810395E9,0.65510595
1625628496654,1.6256284952310395E9,0.652543
1625628496654,1.6256284954810395E9,0.6512615
1625628496654,1.6256284957310395E9,0.6422911
1625628496654,1.6256284959810395E9,0.6333207
1625628496654,1.6256284962310395E9,0.6346022
1625628496654,1.6256284964810395E9,0.62819475
1625628498153,1.6256284967310395E9,0.6269133
1625628498154,1.6256284969810395E9,0.6243503
1625628498154,1.6256284972310395E9,0.62178737
1625628498154,1.6256284974810395E9,0.6140984
1625628498154,1.6256284977310395E9,0.610254
1625628498154,1.6256284979810395E9,0.607691
1625628499654,1.6256284982310395E9,0.60256505
1625628499654,1.6256284984810395E9,0.5987206
1625628499654,1.6256284987310395E9,0.61153543
1625628499654,1.6256284989810395E9,0.6153799
1625628499654,1.6256284992310395E9,0.61153543
1625628499654,1.6256284994810395E9,0.610254
1625628501155,1.6256284997310395E9,0.610254
1625628501155,1.6256284999810395E9,0.607691
1625628501155,1.6256285002310395E9,0.61153543
1625628501155,1.6256285004810395E9,0.61281693
1625628501155,1.6256285007310395E9,0.6140984
1625628501155,1.6256285009810395E9,0.61153543
1625628502654,1.6256285012310395E9,0.610254
1625628502654,1.6256285014810395E9,0.61281693
1625628502654,1.6256285017310395E9,0.6140984
1625628502654,1.6256285019810395E9,0.610254
1625628502654,1.6256285022310395E9,0.6140984
1625628502654,1.6256285024810395E9,0.610254
1625628504154,1.6256285027310395E9,0.61153543
1625628504154,1.6256285029810395E9,0.61281693
1625628504154,1.6256285032310395E9,0.61666137
1625628504154,1.6256285034810395E9,0.6140984
1625628504154,1.6256285037310395E9,0.61281693
1625628504154,1.6256285039810395E9,0.61922437
1625628505695,1.6256285042310395E9,0.61794287
1625628505695,1.6256285044810395E9,0.61922437
1625628505695,1.6256285047310395E9,0.61922437
1625628505695,1.6256285049810395E9,0.62050587
1625628505695,1.6256285052310395E9,0.62050587
1625628505695,1.6256285054810395E9,0.61794287
1625628507157,1.6256285057310395E9,0.61922437
1625628507157,1.6256285059810395E9,0.62178737
1625628507157,1.6256285062310395E9,0.62050587
1625628507157,1.6256285064810395E9,0.61281693
1625628507157,1.6256285067310395E9,0.61666137
1625628507157,1.6256285069810395E9,0.61281693
1625628508654,1.6256285072310395E9,0.61153543
1625628508654,1.6256285074810395E9,0.607691
1625628508654,1.6256285077310395E9,0.610254
1625628508654,1.6256285079810395E9,0.6064095
1625628508654,1.6256285082310395E9,0.6064095
1625628508654,1.6256285084810395E9,0.60384655
1625628510154,1.6256285087310395E9,0.6089725
1625628510154,1.6256285089810395E9,0.610254
1625628510154,1.6256285092310395E9,0.6089725
1625628510154,1.6256285094810395E9,0.5974391
